epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.897,2.43916,3.7515,2.4869,0.28569,0.22157,0.15578,0.06734,2.12902,2.73879,2.05119,0.00332842,0.00332842,0.00332842
2,243.25,2.08479,2.88411,2.16642,0.29301,0.213,0.16622,0.06795,2.15686,2.726,2.09525,0.00659581,0.00659581,0.00659581
3,361.928,2.13076,3.03974,2.23894,0.20067,0.15907,0.09121,0.04147,2.25343,3.18346,2.20351,0.00979719,0.00979719,0.00979719
4,478.632,2.12011,3.07229,2.26754,0.26945,0.19483,0.1471,0.06074,2.19569,2.81181,2.2071,0.009703,0.009703,0.009703
5,594.309,1.99869,2.8044,2.17073,0.31685,0.24918,0.20421,0.09223,2.04849,2.58428,2.06801,0.009604,0.009604,0.009604
6,710.211,1.91291,2.57253,2.09318,0.36336,0.27843,0.24055,0.12019,1.9451,2.36893,1.9737,0.009505,0.009505,0.009505
7,825.527,1.83137,2.39291,2.01959,0.42227,0.28917,0.2683,0.13349,1.91921,2.34889,1.96336,0.009406,0.009406,0.009406
8,940.73,1.75922,2.22705,1.96071,0.34304,0.33067,0.28077,0.14396,1.8377,2.21641,1.88695,0.009307,0.009307,0.009307
9,1056.55,1.69016,2.08017,1.89897,0.44776,0.33506,0.31457,0.16318,1.86196,2.10558,1.89994,0.009208,0.009208,0.009208
10,1172.5,1.63434,1.96774,1.8524,0.4515,0.33862,0.3237,0.17099,1.84335,2.08198,1.89804,0.009109,0.009109,0.009109
11,1288.29,1.56515,1.83157,1.78858,0.41277,0.37295,0.32408,0.16958,1.83373,2.04987,1.8804,0.00901,0.00901,0.00901
12,1403.13,1.51174,1.72625,1.74452,0.42136,0.37782,0.33546,0.17665,1.85266,2.03244,1.91719,0.008911,0.008911,0.008911
13,1516.61,1.44057,1.61152,1.68831,0.44842,0.38204,0.34664,0.18424,1.83712,1.93706,1.91046,0.008812,0.008812,0.008812
14,1630.83,1.3832,1.48871,1.63882,0.47568,0.38615,0.36042,0.19089,1.84335,1.95419,1.919,0.008713,0.008713,0.008713
15,1745.71,1.31883,1.38223,1.58373,0.45612,0.35733,0.34157,0.18212,1.86657,2.0044,1.96008,0.008614,0.008614,0.008614
16,1860.61,1.25738,1.27351,1.53149,0.44464,0.37296,0.3448,0.18343,1.88935,2.08949,1.99104,0.008515,0.008515,0.008515
17,1974.52,1.19618,1.18211,1.4826,0.46994,0.36898,0.35207,0.18588,1.88592,2.02067,2.00402,0.008416,0.008416,0.008416
18,2088.69,1.14347,1.08549,1.43767,0.45925,0.37007,0.34492,0.18328,1.89905,2.10058,2.01231,0.008317,0.008317,0.008317
19,2203.1,1.09311,1.00816,1.39238,0.46104,0.36016,0.34125,0.18453,1.91027,2.11287,2.04298,0.008218,0.008218,0.008218
20,2317.16,1.0399,0.92579,1.34969,0.47202,0.36201,0.33531,0.18037,1.926,2.11462,2.07413,0.008119,0.008119,0.008119
21,2430.14,0.99275,0.85447,1.31,0.45659,0.37067,0.33941,0.18439,1.93061,2.15837,2.08449,0.00802,0.00802,0.00802
22,2544.32,0.94578,0.79117,1.27365,0.4484,0.37353,0.33502,0.18136,1.93636,2.22156,2.12762,0.007921,0.007921,0.007921
23,2658.83,0.91046,0.74218,1.24149,0.45659,0.36847,0.33497,0.18185,1.93795,2.24578,2.1361,0.007822,0.007822,0.007822
24,2773.27,0.87377,0.69628,1.21216,0.4742,0.36322,0.33862,0.18604,1.92325,2.27601,2.13509,0.007723,0.007723,0.007723
25,2887.18,0.83887,0.65676,1.18327,0.50748,0.33907,0.33802,0.18308,1.94499,2.23608,2.17581,0.007624,0.007624,0.007624
26,3001.46,0.80877,0.61832,1.15948,0.47377,0.3491,0.32573,0.17842,1.95402,2.33655,2.19265,0.007525,0.007525,0.007525
27,3115.56,0.77748,0.58471,1.13594,0.43586,0.37081,0.32856,0.18205,1.94708,2.34907,2.21568,0.007426,0.007426,0.007426
28,3229.13,0.75352,0.55932,1.11739,0.46092,0.35702,0.3323,0.18028,1.96618,2.3994,2.24945,0.007327,0.007327,0.007327
29,3343.12,0.72276,0.52742,1.0927,0.49268,0.34624,0.32999,0.18521,1.95966,2.42422,2.26054,0.007228,0.007228,0.007228
